Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Giclee Print on Plaque,100793,http://www.reparteegallery.com/images/variant/large/DP500145.jpg,1,Ballet Girl,,41602,DP500145,49.9900,11 X 13,
Giclee Print,100794,http://www.reparteegallery.com/images/variant/large/DP500366.jpg,1,Ballet Girl,,41604,DP500366,24.9500,11 X 14,
Giclee Print,100799,http://www.reparteegallery.com/images/variant/large/DP500366FA.jpg,0,Ballet Girl Frame A, REP133002,41604,DP500366FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100800,http://www.reparteegallery.com/images/variant/large/DP500366FB.jpg,0,Ballet Girl Frame B, REP133111,41604,DP500366FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100801,http://www.reparteegallery.com/images/variant/large/DP500366FC.jpg,0,Ballet Girl Frame C, REP133115,41604,DP500366FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100802,http://www.reparteegallery.com/images/variant/large/DP500366FD.jpg,0,Ballet Girl Frame D, REP133118,41604,DP500366FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100795,http://www.reparteegallery.com/images/variant/large/DP500618.jpg,1,Ballet Girl,,41605,DP500618,34.9500,12 X 18,
Giclee Print,100806,http://www.reparteegallery.com/images/variant/large/DP500618FD.jpg,0,Ballet Girl Frame D, REP133118,41605,DP500618FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100803,http://www.reparteegallery.com/images/variant/large/DP500618FA.jpg,0,Ballet Girl Frame A, REP133002,41605,DP500618FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100804,http://www.reparteegallery.com/images/variant/large/DP500618FB.jpg,0,Ballet Girl Frame B, REP133111,41605,DP500618FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100805,http://www.reparteegallery.com/images/variant/large/DP500618FC.jpg,0,Ballet Girl Frame C, REP133115,41605,DP500618FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100796,http://www.reparteegallery.com/images/variant/large/DP500771.jpg,1,Ballet Girl,,41606,DP500771,44.9500,14 X 21,
Giclee Print,100807,http://www.reparteegallery.com/images/variant/large/DP500771FA.jpg,0,Ballet Girl Frame A, REP140002,41606,DP500771FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100808,http://www.reparteegallery.com/images/variant/large/DP500771FB.jpg,0,Ballet Girl Frame B, REP140111,41606,DP500771FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100809,http://www.reparteegallery.com/images/variant/large/DP500771FC.jpg,0,Ballet Girl Frame C, REP140115,41606,DP500771FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100810,http://www.reparteegallery.com/images/variant/large/DP500771FD.jpg,0,Ballet Girl Frame D, REP140118,41606,DP500771FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100797,http://www.reparteegallery.com/images/variant/large/DP500919.jpg,1,Ballet Girl,,41607,DP500919,120.0000,20 X 30,
Giclee Print,100811,http://www.reparteegallery.com/images/variant/large/DP500919FA.jpg,0,Ballet Girl Frame A, REP131002,41607,DP500919FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
