Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Limited Edition Giclee Print,53303,http://www.reparteegallery.com/images/variant/large/DPHIR16X215LEP.jpg,1,He Is Risen,,20805,DPHIR16X215LEP,110.0000,16 X 21.5,
Giclee Print on Plaque,100968,http://www.reparteegallery.com/images/variant/large/DP500155.jpg,1,He Is Risen,,41649,DP500155,49.9900,10 X 13,
Giclee Print,100969,http://www.reparteegallery.com/images/variant/large/DP500376.jpg,1,He Is Risen,,41650,DP500376,24.9500,11 X 14,
Giclee Print,100979,http://www.reparteegallery.com/images/variant/large/DP500376FA.jpg,0,He Is Risen Frame A, REP133002,41650,DP500376FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100980,http://www.reparteegallery.com/images/variant/large/DP500376FB.jpg,0,He Is Risen Frame B, REP133111,41650,DP500376FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100981,http://www.reparteegallery.com/images/variant/large/DP500376FC.jpg,0,He Is Risen Frame C, REP133115,41650,DP500376FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100982,http://www.reparteegallery.com/images/variant/large/DP500376FD.jpg,0,He Is Risen Frame D, REP133118,41650,DP500376FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100970,http://www.reparteegallery.com/images/variant/large/DP500628.jpg,1,He Is Risen,,41651,DP500628,34.9500,12 X 18,
Giclee Print,100986,http://www.reparteegallery.com/images/variant/large/DP500628FD.jpg,0,He Is Risen Frame D, REP133118,41651,DP500628FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100983,http://www.reparteegallery.com/images/variant/large/DP500628FA.jpg,0,He Is Risen Frame A, REP133002,41651,DP500628FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100984,http://www.reparteegallery.com/images/variant/large/DP500628FB.jpg,0,He Is Risen Frame B, REP133111,41651,DP500628FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100985,http://www.reparteegallery.com/images/variant/large/DP500628FC.jpg,0,He Is Risen Frame C, REP133115,41651,DP500628FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100971,http://www.reparteegallery.com/images/variant/large/DP500781.jpg,1,He Is Risen,,41652,DP500781,44.9500,14 X 21,
Giclee Print,100987,http://www.reparteegallery.com/images/variant/large/DP500781FA.jpg,0,He Is Risen Frame A, REP140002,41652,DP500781FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100988,http://www.reparteegallery.com/images/variant/large/DP500781FB.jpg,0,He Is Risen Frame B, REP140111,41652,DP500781FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100989,http://www.reparteegallery.com/images/variant/large/DP500781FC.jpg,0,He Is Risen Frame C, REP140115,41652,DP500781FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100990,http://www.reparteegallery.com/images/variant/large/DP500781FD.jpg,0,He Is Risen Frame D, REP140118,41652,DP500781FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100972,http://www.reparteegallery.com/images/variant/large/DP500929.jpg,1,He Is Risen,,41653,DP500929,120.0000,20 X 30,
Giclee Print,100991,http://www.reparteegallery.com/images/variant/large/DP500929FA.jpg,0,He Is Risen Frame A, REP131002,41653,DP500929FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,100992,http://www.reparteegallery.com/images/variant/large/DP500929FB.jpg,0,He Is Risen Frame B, REP131111,41653,DP500929FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,100993,http://www.reparteegallery.com/images/variant/large/DP500929FC.jpg,0,He Is Risen Frame C, REP131115,41653,DP500929FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,100994,http://www.reparteegallery.com/images/variant/large/DP500929FD.jpg,0,He Is Risen Frame D, REP131118,41653,DP500929FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
Giclee Print,102202,http://www.reparteegallery.com/images/variant/large/DPHIR11X14OEP.jpg,1,He Is Risen,,42015,DPHIR11X14OEP,15.0000,11 X 14,
Giclee Print,102212,http://www.reparteegallery.com/images/variant/large/DPHIR11X14OEPFA.jpg,0,He Is Risen Frame A, REP107111,42015,DPHIR11X14OEPFA,99.9500, 15 1/4 X 18 1/4,1 1/4 X 2 1/4 Cappuccino
Giclee Print,102213,http://www.reparteegallery.com/images/variant/large/DPHIR11X14OEPFB.jpg,0,He Is Risen Frame B, REP106111,42015,DPHIR11X14OEPFB,99.9500, 15 3/4 X 18 3/4,1 1/4 X 2 1/2 Cappuccino
Giclee Print,102214,http://www.reparteegallery.com/images/variant/large/DPHIR11X14OEPFC.jpg,0,He Is Risen Frame C, REP104110,42015,DPHIR11X14OEPFC,110.0000, 16 3/4 X 19 3/4,1 X 3 Finish:  Cappucino
Giclee Print,102203,http://www.reparteegallery.com/images/variant/large/DPHIR18X24LEC.jpg,1,He Is Risen,,42016,DPHIR18X24LEC,300.0000,18 X 24,
Giclee Print,102210,http://www.reparteegallery.com/images/variant/large/DPHIR18X24LECFA.jpg,0,He Is Risen Frame A, REP108111 L1.0GldFlk,42016,DPHIR18X24LECFA,525.0000, 26 1/2 X 32 1/2,
Giclee Print,102211,http://www.reparteegallery.com/images/variant/large/DPHIR18X24LECFB.jpg,0,He Is Risen Frame B, REP108111 107741,42016,DPHIR18X24LECFB,540.0000, 25 1/4 X 31 1/4,
Giclee Print,102204,http://www.reparteegallery.com/images/variant/large/DPHIR24X32LEC.jpg,1,He Is Risen,,42017,DPHIR24X32LEC,400.0000,24 X 32,
Giclee Print,102209,http://www.reparteegallery.com/images/variant/large/DPHIR24X32LECFD.jpg,0,He Is Risen Frame D, REP103111 L1.0GldFlk,42017,DPHIR24X32LECFD,695.0000, 35 X 43,
Giclee Print,102208,http://www.reparteegallery.com/images/variant/large/DPHIR24X32LECFC.jpg,0,He Is Risen Frame C, REP103111 107741,42017,DPHIR24X32LECFC,725.0000, 33 3/4 X 41 3/4,
Giclee Print,102206,http://www.reparteegallery.com/images/variant/large/DPHIR24X32LECFA.jpg,0,He Is Risen Frame A, REP109111 L1.0GldFlk,42017,DPHIR24X32LECFA,795.0000, 34 1/2 X 42 1/2,
Giclee Print,102207,http://www.reparteegallery.com/images/variant/large/DPHIR24X32LECFB.jpg,0,He Is Risen Frame B, REP109111 107741,42017,DPHIR24X32LECFB,825.0000, 33 1/4 X 41 1/4,
Giclee Print,102563,http://www.reparteegallery.com/images/variant/large/AA1006622.jpg,1,He Is Risen,,42321,AA1006622,60.0000,14 X 21,
Giclee Print,113370,http://www.reparteegallery.com/images/variant/large/AA1006622FB.jpg,0,He Is Risen Frame B, TPM295,42321,AA1006622FB,149.9500, 21 X 28,3 5/8 Dark Brown Wood Grain Gold Lip
Giclee Print,113445,http://www.reparteegallery.com/images/variant/large/AA1006622FC.jpg,0,He Is Risen Frame C, TPM338,42321,AA1006622FC,189.9500, 24 X 31,5 1/8 Burnished Gold
Giclee Print,102564,http://www.reparteegallery.com/images/variant/large/AA1006622FA.jpg,0,He Is Risen Frame A, TPM263GL REP110118,42321,AA1006622FA,220.0000, 21 X 28,5 1/8 Burnished Gold
Giclee Print,68428,http://www.reparteegallery.com/images/variant/large/64002.jpg,1,Christ And Children From Around The World,,24153,64002,0.7500,5 X 7,
Giclee Print on Plaque,100925,http://www.reparteegallery.com/images/variant/large/DP500150.jpg,1,Christ And Children From Around The World,,41638,DP500150,49.9900,10 X 13,
Giclee Print,100926,http://www.reparteegallery.com/images/variant/large/DP500371.jpg,1,Christ And Children From Around The World,,41639,DP500371,24.9500,11 X 14,
Giclee Print,100930,http://www.reparteegallery.com/images/variant/large/DP500371FA.jpg,0,Christ And Children From Around The World Frame A, REP133002,41639,DP500371FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100931,http://www.reparteegallery.com/images/variant/large/DP500371FB.jpg,0,Christ And Children From Around The World Frame B, REP133111,41639,DP500371FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100932,http://www.reparteegallery.com/images/variant/large/DP500371FC.jpg,0,Christ And Children From Around The World Frame C, REP133115,41639,DP500371FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100933,http://www.reparteegallery.com/images/variant/large/DP500371FD.jpg,0,Christ And Children From Around The World Frame D, REP133118,41639,DP500371FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100927,http://www.reparteegallery.com/images/variant/large/DP500623.jpg,1,Christ And Children From Around The World,,41640,DP500623,34.9500,12 X 18,
Giclee Print,100937,http://www.reparteegallery.com/images/variant/large/DP500623FD.jpg,0,Christ And Children Frame D, REP133118,41640,DP500623FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100934,http://www.reparteegallery.com/images/variant/large/DP500623FA.jpg,0,Christ And Children From Around The World Frame A, REP133002,41640,DP500623FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100935,http://www.reparteegallery.com/images/variant/large/DP500623FB.jpg,0,Christ And Children From Around The World Frame B, REP133111,41640,DP500623FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100936,http://www.reparteegallery.com/images/variant/large/DP500623FC.jpg,0,Christ And Children From Around The World Frame C, REP133115,41640,DP500623FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100928,http://www.reparteegallery.com/images/variant/large/DP500776.jpg,1,Christ And Children From Around The World,,41641,DP500776,44.9500,14 X 21,
Giclee Print,100938,http://www.reparteegallery.com/images/variant/large/DP500776FA.jpg,0,Christ And Children From Around The World Frame A, REP140002,41641,DP500776FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100939,http://www.reparteegallery.com/images/variant/large/DP500776FB.jpg,0,Christ And Children From Around The World Frame B, REP140111,41641,DP500776FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100940,http://www.reparteegallery.com/images/variant/large/DP500776FC.jpg,0,Christ And Children From Around The World Frame C, REP140115,41641,DP500776FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100941,http://www.reparteegallery.com/images/variant/large/DP500776FD.jpg,0,Christ And Children From Around The World Frame D, REP140118,41641,DP500776FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100929,http://www.reparteegallery.com/images/variant/large/DP500924.jpg,1,Christ And Children From Around The World,,41642,DP500924,120.0000,20 X 30,
Giclee Print,100942,http://www.reparteegallery.com/images/variant/large/DP500924FA.jpg,0,Christ And Children From Around The World Frame A, REP131002,41642,DP500924FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,100943,http://www.reparteegallery.com/images/variant/large/DP500924FB.jpg,0,Christ And Children From Around The World Frame B, REP131111,41642,DP500924FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,100944,http://www.reparteegallery.com/images/variant/large/DP500924FC.jpg,0,Christ And Children From Around The World Frame C, REP131115,41642,DP500924FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,100945,http://www.reparteegallery.com/images/variant/large/DP500924FD.jpg,0,Christ And Children From Around The World Frame D, REP131118,41642,DP500924FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
Giclee Print,100667,http://www.reparteegallery.com/images/variant/large/DP500386.jpg,1,Perfect Love,,41572,DP500386,24.9500,11 X 14,
Giclee Print,100671,http://www.reparteegallery.com/images/variant/large/DP500386FA.jpg,0,Perfect Love Frame A, REP133002,41572,DP500386FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100672,http://www.reparteegallery.com/images/variant/large/DP500386FB.jpg,0,Perfect Love Frame B, REP133111,41572,DP500386FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100673,http://www.reparteegallery.com/images/variant/large/DP500386FD.jpg,0,Perfect Love Frame D, REP133118,41572,DP500386FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100675,http://www.reparteegallery.com/images/variant/large/DP500386FC.jpg,0,Perfect Love Frame C, REP133115,41572,DP500386FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,113900,http://www.reparteegallery.com/images/variant/large/DP500386FE.jpg,0,Perfect Love Frame E, REP110118,41572,DP500386FE,124.9500, 16 3/4 X 19 3/4,1 1/4 X 3 Colonial Van Dyke
Giclee Print,100668,http://www.reparteegallery.com/images/variant/large/DP500638.jpg,1,Perfect Love,,41574,DP500638,34.9500,12 X 18,
Giclee Print,100677,http://www.reparteegallery.com/images/variant/large/DP500638FD.jpg,0,Perfect Love Frame D, REP133118,41574,DP500638FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100678,http://www.reparteegallery.com/images/variant/large/DP500638FC.jpg,0,Perfect Love Frame C, REP133115,41574,DP500638FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100674,http://www.reparteegallery.com/images/variant/large/DP500638FB.jpg,0,Perfect Love Frame B, REP133111,41574,DP500638FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100676,http://www.reparteegallery.com/images/variant/large/DP500638FA.jpg,0,Perfect Love Frame A, REP133002,41574,DP500638FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100669,http://www.reparteegallery.com/images/variant/large/DP500791.jpg,1,Perfect Love,,41575,DP500791,44.9500,14 X 21,
Giclee Print,113409,http://www.reparteegallery.com/images/variant/large/DP500791FE.jpg,0,Perfect Love Frame E, tpm8-018,41575,DP500791FE,139.9500, 22 X 29,1 1/4 X 4 1/8 Brown with antique Lip
Giclee Print,100679,http://www.reparteegallery.com/images/variant/large/DP500791FA.jpg,0,Perfect Love Frame A, REP140002,41575,DP500791FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100680,http://www.reparteegallery.com/images/variant/large/DP500791FB.jpg,0,Perfect Love Frame B, REP140111,41575,DP500791FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100681,http://www.reparteegallery.com/images/variant/large/DP500791FC.jpg,0,Perfect Love Frame C, REP140115,41575,DP500791FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100682,http://www.reparteegallery.com/images/variant/large/DP500791FD.jpg,0,Perfect Love Frame D, REP140118,41575,DP500791FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100670,http://www.reparteegallery.com/images/variant/large/DP500939.jpg,1,Perfect Love,,41576,DP500939,120.0000,20 X 30,
