Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Giclee Print on Plaque,101373,http://www.reparteegallery.com/images/variant/large/CH500031.jpg,1,Provo Fall Rock Canyon,,41762,CH500031,49.9900,13 X 10,
Giclee Print,101374,http://www.reparteegallery.com/images/variant/large/CH500256.jpg,1,Provo Fall Rock Canyon,,41764,CH500256,24.9500,14 X 11,
Giclee Print,101381,http://www.reparteegallery.com/images/variant/large/CH500256FA.jpg,0,Provo Fall Rock Canyon Frame A, REP133002,41764,CH500256FA,124.9500, 20 X 17,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,101383,http://www.reparteegallery.com/images/variant/large/CH500256FB.jpg,0,Provo Fall Rock Canyon Frame B, REP133111,41764,CH500256FB,124.9500, 20 X 17,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,101384,http://www.reparteegallery.com/images/variant/large/CH500256FC.jpg,0,Provo Fall Rock Canyon Frame C, REP133115,41764,CH500256FC,124.9500, 20 X 17,1 1/4 X 3 1/4 Finish:  White
Giclee Print,101385,http://www.reparteegallery.com/images/variant/large/CH500256FD.jpg,0,Provo Fall Rock Canyon Frame D, REP133118,41764,CH500256FD,124.9500, 20 X 17,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,101375,http://www.reparteegallery.com/images/variant/large/CH500519.jpg,1,Provo Fall Rock Canyon,,41765,CH500519,34.9500,18 X 12,
Giclee Print,101386,http://www.reparteegallery.com/images/variant/large/CH500519FA.jpg,0,Provo Fall Rock Canyon Frame A, REP133002,41765,CH500519FA,159.9500, 25 X 19,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,101387,http://www.reparteegallery.com/images/variant/large/CH500519FB.jpg,0,Provo Fall Rock Canyon Frame B, REP133111,41765,CH500519FB,159.9500, 25 X 19,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,101388,http://www.reparteegallery.com/images/variant/large/CH500519FC.jpg,0,Provo Fall Rock Canyon Frame C, REP133115,41765,CH500519FC,159.9500, 25 X 19,1 1/4 X 3 1/4 Finish:  White
Giclee Print,101389,http://www.reparteegallery.com/images/variant/large/CH500519FD.jpg,0,Provo Fall Rock Canyon Frame D, REP133118,41765,CH500519FD,159.9500,25 X 19,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,101376,http://www.reparteegallery.com/images/variant/large/CH500672.jpg,1,Provo Fall Rock Canyon,,41766,CH500672,44.9500,21 X 14,
Giclee Print,101390,http://www.reparteegallery.com/images/variant/large/CH500672FA.jpg,0,Provo Fall Rock Canyon Frame A, REP140002,41766,CH500672FA,209.9500, 29 X 22,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,101391,http://www.reparteegallery.com/images/variant/large/CH500672FB.jpg,0,Provo Fall Rock Canyon Frame B, REP140111,41766,CH500672FB,209.9500, 29 X 22,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,101392,http://www.reparteegallery.com/images/variant/large/CH500672FC.jpg,0,Provo Fall Rock Canyon Frame C, REP140115,41766,CH500672FC,209.9500, 29 X 22,1 1/4 X 4 1/4 Finish:  White
Giclee Print,101393,http://www.reparteegallery.com/images/variant/large/CH500672FD.jpg,0,Provo Fall Rock Canyon Frame D, REP140118,41766,CH500672FD,209.9500, 29 X 22,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,101377,http://www.reparteegallery.com/images/variant/large/CH500412.jpg,1,Provo Fall Rock Canyon,,41767,CH500412,29.9500,24 X 8,
Giclee Print,101397,http://www.reparteegallery.com/images/variant/large/CH500412FD.jpg,0,Provo Fall Rock Canyon Frame D, REP133118,41767,CH500412FD,49.9500, 24 X 8,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,101394,http://www.reparteegallery.com/images/variant/large/CH500412FA.jpg,0,Provo Fall Rock Canyon Frame A, REP133002,41767,CH500412FA,149.9500, 31 X 15,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,101395,http://www.reparteegallery.com/images/variant/large/CH500412FB.jpg,0,Provo Fall Rock Canyon Frame B, REP133111,41767,CH500412FB,149.9500, 31 X 15,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,101396,http://www.reparteegallery.com/images/variant/large/CH500412FC.jpg,0,Provo Fall Rock Canyon Frame C, REP133115,41767,CH500412FC,149.9500, 31 X 15,1 1/4 X 3 1/4 Finish:  White
Giclee Print,101378,http://www.reparteegallery.com/images/variant/large/CH500825.jpg,1,Provo Fall Rock Canyon,,41768,CH500825,120.0000,30 X 20,
Giclee Print,101398,http://www.reparteegallery.com/images/variant/large/CH500825FA.jpg,0,Provo Fall Rock Canyon Frame A, REP131002,41768,CH500825FA,379.9500, 42 X 32,1 3/4 X 5 1/4 Classic Black
Giclee Print,101399,http://www.reparteegallery.com/images/variant/large/CH500825FB.jpg,0,Provo Fall Rock Canyon Frame B, REP131111,41768,CH500825FB,379.9500, 42 X 32,1 3/4 X 5 1/4 Cappuccino
Giclee Print,101400,http://www.reparteegallery.com/images/variant/large/CH500825FC.jpg,0,Provo Fall Rock Canyon Frame C, REP131115,41768,CH500825FC,379.9500, 42 X 32,1 3/4 X 5 1/4 White
